Year ,Term ,Branch ,Sem ,Responce_Count ,Term_Start ,Term_End ,Subject_Code ,Subject_ShortForm ,Subject_FullName ,Faculty_Initial ,Faculty_Name ,
2024,Odd,ICT,1,,22/07/24,07/12/24,DI01000091,FICT, Fundamentals of Information and Communication Technology,SPJ,Mr. S P Joshiara,DI01000091:  Fundamentals of Information and Communication Technology By Mr. S P Joshiara
2024,Odd,ICT,1,,22/07/24,07/12/24,DI01032011,WDP, Web Development Practice,MKP,Ms. M K Pedhadiya,DI01032011:  Web Development Practice By Ms. M K Pedhadiya
2024,Odd,ICT,1,,22/07/24,07/12/24,DI01032011,WDP, Web Development Practice,RCP,Mr. R C Parmar,DI01032011:  Web Development Practice By Mr. R C Parmar
2024,Odd,ICT,3,,27/06/24,25/10/24,1333201,CE, Communication Engineering,SJC,Mr. S J Chauhan,1333201:  Communication Engineering By Mr. S J Chauhan
2024,Odd,ICT,3,,27/06/24,25/10/24,1333202,MPMC, Microprocessor & Microcontroller Systems,NJC,Mr. N J Chauhan,1333202:  Microprocessor & Microcontroller Systems By Mr. N J Chauhan
2024,Odd,ICT,3,,27/06/24,25/10/24,1333203,DSA, Data Structure and Application,MJD,Mr. M J Dabgar,1333203:  Data Structure and Application By Mr. M J Dabgar
2024,Odd,ICT,3,,27/06/24,25/10/24,1333204,DBMS, Database Management System,MKP,Ms. M K Pedhadiya,1333204:  Database Management System By Ms. M K Pedhadiya
2024,Odd,ICT,3,,27/06/24,25/10/24,1333205,OSA, Operating System Administration,LKP,Mr. L K Patel,1333205:  Operating System Administration By Mr. L K Patel
2024,Odd,ICT,5,,27/06/24,25/10/24,4300021,E&S, Entrepreneurship and Start-ups,NVO,Mr. N V Oza,4300021:  Entrepreneurship and Start-ups By Mr. N V Oza
2024,Odd,ICT,5,,27/06/24,25/10/24,4300021,E&S, Entrepreneurship and Start-ups,DHD,Mr. D H Desai,4300021:  Entrepreneurship and Start-ups By Mr. D H Desai
2024,Odd,ICT,5,,27/06/24,25/10/24,4300021,E&S, Entrepreneurship and Start-ups,MRZ,Mr. M R Zala,4300021:  Entrepreneurship and Start-ups By Mr. M R Zala
2024,Odd,ICT,5,,27/06/24,25/10/24,4353201,WSN, Wireless Sensor Networks and IoT,NJC,Mr. N J Chauhan,4353201:  Wireless Sensor Networks and IoT By Mr. N J Chauhan
2024,Odd,ICT,5,,27/06/24,25/10/24,4353202,SE, Software Engineering,LKP,Mr. L K Patel,4353202:  Software Engineering By Mr. L K Patel
2024,Odd,ICT,5,,27/06/24,25/10/24,4353202,SE, Software Engineering,RCP,Mr. R C Parmar,4353202:  Software Engineering By Mr. R C Parmar
2024,Odd,ICT,5,,27/06/24,25/10/24,4353203,MAD, Mobile Application Development,MJD,Mr. M J Dabgar,4353203:  Mobile Application Development By Mr. M J Dabgar
2024,Odd,ICT,5,,27/06/24,25/10/24,4353204,CS, Cyber Security,MJD,Mr. M J Dabgar,4353204:  Cyber Security By Mr. M J Dabgar
2024,Odd,ICT,5,,27/06/24,25/10/24,4353206,VLSI, VLSI Technology,MKP,Ms. M K Pedhadiya,4353206:  VLSI Technology By Ms. M K Pedhadiya
